procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95915772  23692 790440    0    0    37  1395 285688   59  1  3 96  0  0  0
 0  0      0 95915296  23692 790448    0    0     0     0  622  330  0  0 100  0  0  0
 0  0      0 95915044  23692 790456    0    0     0     0  667  444  0  0 100  0  0  0
 0  0      0 95914792  23692 790464    0    0     0     0  592  318  0  0 100  0  0  0
 0  0      0 95914792  23692 790464    0    0     0     0  139  152  0  0 100  0  0  0
 0  0      0 95914792  23692 790464    0    0     0     0  107  122  0  0 100  0  0  0
 0  0      0 95914540  23692 790464    0    0     0     9  402  322  0  0 100  0  0  0
15  0      0 95877060  23708 790780    0    0     0   600 1178714 1151103  2 12 85  0  0  0
 8  0      0 95871152  23708 790780    0    0     0     0 1579061 1552537  3 17 80  0  0  0
 5  0      0 95872236  23708 790780    0    0     0     0 1599999 1571482  3 15 82  0  0  0
11  0      0 95873952  23708 790784    0    0     0     0 1609463 1591688  4 16 80  0  0  0
17  0      0 95871072  23708 790784    0    0     0     0 1626208 1605185  3 15 81  0  0  0
 6  0      0 95874692  23708 790788    0    0     0    14 1588621 1560673  3 18 79  0  0  0
13  0      0 95874428  23708 790792    0    0     0     0 1582494 1557052  3 16 81  0  0  0
16  0      0 95876640  23708 790792    0    0     0     0 1580101 1550834  3 16 80  0  0  0
 7  0      0 95878412  23708 790792    0    0     0     0 1586411 1558037  3 18 79  0  0  0
 5  0      0 95874436  23708 790796    0    0     0     0 1580362 1549681  4 17 79  0  0  0
 3  0      0 95869304  23708 790796    0    0     0     4 1571593 1537341  4 18 79  0  0  0
 0  0      0 95868360  23708 790796    0    0     0     0 1589146 1560863  4 17 79  0  0  0
 2  0      0 95875784  23708 790796    0    0     0     0 1553368 1517938  4 19 77  0  0  0
19  0      0 95875724  23708 790796    0    0     0     0 1581673 1552256  4 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 95877328  23708 790796    0    0     0     0 1548917 1513723  4 19 77  0  0  0
15  0      0 95875100  23712 790796    0    0     0     5 1575077 1544043  4 18 79  0  0  0
12  0      0 95869960  23712 790800    0    0     0     0 1570105 1539012  4 19 78  0  0  0
 9  0      0 95868340  23712 790800    0    0     0     0 1567843 1536867  4 17 80  0  0  0
10  0      0 95877352  23712 790804    0    0     0     0 1557270 1520554  4 19 77  0  0  0
