procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95728896  23440 822508    0    0    40  1466 189026    8  5  2 93  0  0  0
 0  0      0 95728140  23440 822516    0    0     0    17  955  529  0  0 100  0  0  0
 0  0      0 95727648  23440 822520    0    0     0     0  586  375  0  0 100  0  0  0
 0  0      0 95732936  23440 822528    0    0     0     0  722  363  0  0 100  0  0  0
 0  0      0 95732208  23440 822596    0    0     0     0  468  344  0  0 100  0  0  0
 0  0      0 95732208  23440 822612    0    0     0     0  189  242  0  0 100  0  0  0
 0  0      0 95732208  23440 822632    0    0     0    10  120  128  0  0 100  0  0  0
 0  0      0 95732208  23440 822652    0    0     0     0  107  124  0  0 100  0  0  0
 0  0      0 95732208  23440 822668    0    0     0     0  209  227  0  0 100  0  0  0
 0  0      0 95731480  23440 822692    0    0     0     0  238  177  0  0 100  0  0  0
 0  0      0 95727484  23440 822772    0    0     0     0 1091  270  0  0 100  0  0  0
10  0      0 95725940  23440 822792    0    0     0    10 844339 202283  9 10 80  0  0  0
 4  0      0 95714804  23440 822812    0    0     0     0 1064699 250926 13 12 75  0  0  0
 3  0      0 95717532  23440 822840    0    0     0     0 1075910 253519 13 12 76  0  0  0
17  0      0 95712900  23440 822860    0    0     0     0 1075290 252752 11 11 77  0  0  0
 3  0      0 95714276  23440 822880    0    0     0     0 1073281 253936 12 11 77  0  0  0
 5  0      0 95714316  23440 822904    0    0     0     0 1070174 252816 12 12 76  0  0  0
 7  0      0 95711544  23444 822924    0    0     0     5 1075145 252390 11 11 77  0  0  0
11  0      0 95713060  23444 822940    0    0     0     0 1066910 251204 13 11 77  0  0  0
 7  0      0 95717528  23444 822964    0    0     0     0 1066202 250471 11 12 77  0  0  0
19  0      0 95715832  23444 822984    0    0     0     0 1068484 253100 12 12 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 95716980  23444 823008    0    0     0     0 1070151 254222 12 11 76  0  0  0
14  0      0 95716168  23444 823024    0    0     0     5 1074304 254025 11 11 78  0  0  0
13  0      0 95712636  23444 823052    0    0     0     0 1075683 256058 12 11 77  0  0  0
 5  0      0 95711044  23444 823072    0    0     0     0 1081141 255842 12 12 75  0  0  0
 6  0      0 95710268  23444 823096    0    0     0     0 1073186 254575 12 12 76  0  0  0
