procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95747660  23204 821216    0    0    48  1719 163218    7  3  2 95  0  0  0
 0  0      0 95746656  23208 821224    0    0     0    16  780  461  0  0 100  0  0  0
 0  0      0 95745660  23208 821236    0    0     0     0  624  377  0  0 100  0  0  0
 0  0      0 95750944  23208 821240    0    0     0     0  674  341  0  0 100  0  0  0
 0  0      0 95750744  23208 821340    0    0     0     0  427  344  0  0 100  0  0  0
 0  0      0 95750744  23208 821340    0    0     0     0  169  232  0  0 100  0  0  0
 0  0      0 95750744  23212 821376    0    0     0    11  127  134  0  0 100  0  0  0
 0  0      0 95750744  23212 821396    0    0     0     0  113  122  0  0 100  0  0  0
 0  0      0 95750996  23212 821412    0    0     0     0  248  282  0  0 100  0  0  0
 0  0      0 95750772  23212 821436    0    0     0     0  252  177  0  0 100  0  0  0
 0  0      0 95747252  23212 821456    0    0     0     0 1072  261  0  0 100  0  0  0
38  0      0 95542084  23216 821492    0    0     0    11 1234287 170817 63 15 23  0  0  0
27  0      0 95542084  23216 821516    0    0     0     0 1310762 171858 68 15 17  0  0  0
36  0      0 95542084  23216 821516    0    0     0     0 1283143 171007 67 16 17  0  0  0
37  0      0 95542072  23216 821560    0    0     0     0 1299922 175690 68 16 16  0  0  0
32  0      0 95542080  23216 821560    0    0     0     0 1312562 173805 67 16 17  0  0  0
19  0      0 95542076  23216 821600    0    0     0     0 1304718 171399 66 16 18  0  0  0
41  0      0 95542060  23220 821600    0    0     0     5 1338174 178801 70 15 15  0  0  0
 6  0      0 95542056  23220 821620    0    0     0     0 1317244 174508 68 15 17  0  0  0
43  0      0 95542056  23220 821636    0    0     0     0 1324514 174368 68 15 17  0  0  0
41  0      0 95542036  23220 821656    0    0     0     0 1328960 177488 69 15 16  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
34  0      0 95542032  23220 821696    0    0     0     0 1317540 175802 68 15 17  0  0  0
46  0      0 95542028  23220 821696    0    0     0     5 1349557 181642 70 16 15  0  0  0
45  0      0 95541776  23220 821716    0    0     0     0 1340405 177911 69 16 15  0  0  0
 2  0      0 95541772  23220 821756    0    0     0     0 1324651 176961 68 15 17  0  0  0
35  0      0 95541776  23220 821756    0    0     0     0 1329278 174726 68 16 16  0  0  0
