Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:27:00      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:27:01            0       647      3.13      5.45      4.38         0
11:27:02            0       649      3.13      5.45      4.38         0
11:27:03            0       646      3.13      5.45      4.38         0
11:27:04            0       646      3.13      5.45      4.38         0
11:27:05            0       646      3.13      5.45      4.38         0
11:27:06            0       646      2.88      5.36      4.35         0
11:27:07            0       646      2.88      5.36      4.35         0
11:27:08            0       649      2.88      5.36      4.35         0
11:27:09           17       649      2.88      5.36      4.35         0
11:27:10           10       649      2.88      5.36      4.35         0
11:27:11            6       649      4.01      5.55      4.42         0
11:27:12           15       649      4.01      5.55      4.42         0
11:27:13           10       649      4.01      5.55      4.42         0
11:27:14            6       649      4.01      5.55      4.42         0
11:27:15           18       649      4.01      5.55      4.42         0
11:27:16           17       649      4.81      5.69      4.47         0
11:27:17            7       649      4.81      5.69      4.47         0
11:27:18            8       649      4.81      5.69      4.47         0
11:27:19            1       649      4.81      5.69      4.47         0
11:27:20           10       649      4.81      5.69      4.47         0
11:27:21            5       649      5.23      5.76      4.50         0
11:27:22           22       649      5.23      5.76      4.50         0
11:27:23            7       649      5.23      5.76      4.50         0
11:27:24            6       648      5.23      5.76      4.50         0
11:27:25            7       649      5.23      5.76      4.50         0
11:27:26           15       647      5.45      5.80      4.52         0
Average:            7       648      4.07      5.57      4.43         0
